STUDY_ID,CITATION_LINE
10,"Webb, S. L. & Scanga, S. E. (2001) Windstorm Disturbance without Patch Dynamics: Twelve Years of Change in a Minnesota Forest. Ecology, 82, 893 –897."
18,"Zachmann, L., Moffet, C. & Adler, P. (2010) Mapped quadrats in sagebrush steppe: long-term data for analyzing demographic rates and plant–plant interactions. Ecology, 91, 3427."
33,"Widdicombe, C. E., Eloire, D., Harbour, D., Harris, R. P. & Somerfield, P. J. (2010) Long-term phytoplankton community dynamics in the Western English Channel. Journal of Plankton Research, 32, 643–655. doi:10.1093/plankt/fbp127"
33,"Widdicombe, C. E., Eloire, D., Harbour, D., Harris, R. P. & Somerfield, P. J. (2010) Time series of phyto- and microzooplankton abundance and composition at station L4 in the English Channel from 1988 to 2009. doi:10.1594/PANGAEA.758061"
39,"Holmes, R. T. & Sherry, T. W. (2001) Thirty-year bird population trends in an unfragmented temperate deciduous forest: the importance of habitat change. The Auk, 118, 589–610."
39,"Holmes, R. T. & Sturges, F. W. (1975) Bird community dynamics and energetics in a northern hardwoods ecosystem. Journal of Animal Ecology, 44, 175–200."
39,"Holmes, R. T. & Sherry, T. W. (1988) Assessing population trends of New Hampshire forest birds: Local versus regional patterns. The Auk, 105, 756–768."
39,"Holmes, R. T., Sherry, T. W. & Sturges, F. W. (1986) Bird Community Dynamics in a Temperate Deciduous Forest: Long-Term Trends at Hubbard Brook. Ecological Monographs, 56, 201–220. "
41,"Preston, F. W. (1960) Time and Space and the Variation of Species. Ecology, 41, 611–627."
45,"Brooks, A.J. ""MCR LTER: Coral Reef: Long-term Population and Community Dynamics: Fishes"". Moorea Coral Reef.  Available at: http://mcr.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-mcr.6, accessed 2012."
45,"Brooks, A.J. (2016) Moorea Coral Reef LTER: Coral Reef: Long-term Population and Community Dynamics: Fishes.  Available at: knb-lter-mcr.6.54 doi:10.6073/pasta/d688610e536f54885a3c59d287f6c4c3, accessed 2016."
46,"Williamson, M. (1983) The Land-Bird Community of Skokholm: Ordination and Turnover. Oikos, 41, 378–384."
47,"Vickery, W. L. & Nudds, T. D. (1984) Detection of Density-Dependent Effects in Annual Duck Censuses. Ecology, 65, 96."
51,"""Fluctuations and long-term trends in the relative densities of tetraonid populations in Finland, 1964-77."" NERC Centre for Population Biology, Imperial College. The Global Population Dynamics Database v2.0. Available at: https://www.imperial.ac.uk/cpb/gpdd2/secure/register.aspx, accessed 2012."
51,"Lindén, H. & Rajala, P. (1981) Fluctuations and long-term trends in the relative densities of tetraonid populations in Finland, 1964-77. Finnish Game Research, 39, 13-34."
52,"""A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters"". NERC Centre for Population Biology, Imperial College, The Global Population Dynamics Database v2.0. Available at: http://www3.imperial.ac.uk/cpb/databases/gpdd, accessed 2012."
52,"Pulliainen, E. (1981) A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish Forest Lapland over 13 winters. Annales Zoologici Fennici, 18, 270–278. "
53,"Grant, P. R. (1976) An 11-year study of small mammal populations at Mont St. Hilaire, Quebec. Canadian Journal of Zoology, 54, 2156–2173."
53,"Grant, P. R. (1976) ""An 11-year study of small mammal populations at Mont St. Hilaire, Quebec"". NERC Centre for Population Biology, Imperial College. The Global Population Dynamics Database v2.0. Available at: http://www3.imperial.ac.uk/cpb/databases/gpdd, accessed 2012."
54,"Willig, M. R. & Bloch, C. P. (2016) ""El Verde Grid long-term invertebrate data: Luquillo Long Term Ecological Research Site Database: Data Set 107"". Available at:http://luq.lternet.edu/data/luqmetadata107/7427, accessed 2016."
