STUDY_ID,REALM,CLIMATE,GENERAL_TREAT,TREATMENT,TREAT_COMMENTS,TREAT_DATE,HABITAT,PROTECTED_AREA,BIOME_MAP,TAXA,ORGANISMS,TITLE,AB_BIO,HAS_PLOT,DATA_POINTS,START_YEAR,END_YEAR,CENT_LAT,CENT_LONG,NUMBER_OF_SPECIES,NUMBER_OF_SAMPLES,NUMBER_LAT_LONG,TOTAL,GRAIN_SIZE_TEXT,GRAIN_SQ_KM,AREA_SQ_KM,CONTACT_1,CONTACT_2,CONT_1_MAIL,CONT_2_MAIL,LICENSE,WEB_LINK,DATA_SOURCE,METHODS,SUMMARY_METHODS,LINK_ID,COMMENTS,DATE_STUDY_ADDED,ABUNDANCE_TYPE,BIOMASS_TYPE,SAMPLE_DESC_NAME
10,Terrestrial,Temperate,,,,,Woodland,FALSE,Temperate broadleaf and mixed forests,Terrestrial plants,woody plants,Windstorm disturbance without patch dynamics twelve years of change in a Minnesota forest,A,Y,3,1984,1996,47.4,-95.12,25,191,1,1406,2 x 2 m plots (16 ha),0.000004,0.00000591,Sara Webb,Sara Scanga,swebb@drew.edu,sescanga@utica.edu,ODbL,http://esapubs.org/archive/ecol/E082/011/default.htm,Ecology,"Itasca State Park. Minnesota. is a 13 000-ha forestpreserve at 478N latitude. with a cold continental climate(mean annual temperature 3.78C. mean annualprecipitation 640 mm; Kuehnast 1972) and with diversesoils on glacial and meltwater deposits within a terminalmoraine. Forest cover in the 16-ha study area(T143N. R36W. Sec. 36. N?. NE?; pine?maple/BuddLake area of Webb [1988. 1989]) is heterogeneous withelements of northern hardwoods. white pine. red pine.and aspen?sugar maple cover types (Eyre 1980). Clustersof Pinus resinosa and scattered individual Pinusstrobus amidst hardwoods date back over 250 yr basedon our tree ring counts and originated after fire (Frissell1973; Clark 1989). The understory is also heterogenous.with thickets of Corylus cornuta shrubs. clumpsof the shrub Acer spicatum. carpets of seedlings of Acersaccharum and Acer rubrum. and patches of saplingsof Ostrya virginiana and Acer saccharum. The herbaceousflora is sparse and thus omitted from this analysis.Nomenclature follows Gleason and Cronquist 1991.METHODSPlots were sampled in mid-summer 1984. 1992. and1996. Each treefall had four 2 3 2 m plots: one plotnear the base (0.5 m north of the stump?s north edge).one plot in the fallen crown area (north of the bole justbeyond the first branch of the fallen crown). and twocontrol plots in parallel configuration at undamagedconspecific trees. Two base plots and three crown plotswere omitted due to interference from trails or treelesswet meadows. Note that plot locations were not permanentlymarked in the original survey. Thus. althoughthe treefall plots were likely to coincide in repeatedsampling. the control plots were less likely to be placedin exactly the same location in subsequent surveys. Ineach plot. all trees and shrubs were identified. counted.and recorded by height class (small. .50 cm in height;medium. 50-200 cm; tall. .200 cm in height. but dbh. 2.5 cm). Of 30 treefalls sampled originally in 1984.17 were still distinguishable in 1992. and 11 were distinguishablein 1996. In some cases. we are certain thatwe found the location of the old treefall. but the primarywindthrown tree had been obliterated by subsequenttreefalls. or (particularly for Betula papyrifera)entirely decomposed. Windthrown pines were still visibleand were all relocated. In contrast. fallen Populustremuloides. P. grandidentata. and other hardwoodswere less persistent. Any resulting bias in plot retrievalshould exaggerate the effects of windstorms. since largertreefalls were most likely to be included in the latersurveys. To accommodate decreasing sample size overtime. comparisons are based on densities per unit area.The data set contained a total of 58 individual plots in1984 and 1992. and 40 plots in 1996. Sample size wassufficient to reveal significant changes over time in thestatistical analysis; thus differences between treefalland control areas should also be detectable.We used repeated-measures ANOVA to identify differencesin vegetation that might be related to windstormdisturbance. The dependent variables. run one ata time. were species richness overall. for shrubs. andfor trees; and stem density by height class for all woodystems combined. for all shrubs. for all trees. and byspecies. The three independent variables. modeled together.were (1) treefall vs. control plot. (2) base vs.crown plot. and (3) year (1984. 1992. 1996). The base/crown factor was not significant and is not discussedhere. For those species for which ??year?? was significant.we checked for carry-over effects using a test forsphericity. In cases where the sphericity assumption ofthe univariate model was violated (the case of P .0.05). we tested again using a multivariate test that wasless powerful but more conservative (von Ende 1993;Norusis 1993). Unit of abundance = Count, Unit of biomass = NA",Plots,,Dates added ,Oct-12,Count,NA,lat_long_treefallid_controlvs.treatment_basevs.crown_size_date
18,Terrestrial,Temperate,,,,,Sagebrush steppe,FALSE,Deserts and xeric shrublands,Terrestrial plants,sagebrush steppe plants,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,A,Y,29,1923,1973,44.33,-112.33,98,542,1,8034,26 x 1m squared quadrats,0.000001,0.00000559,Luke Zachmann,,luke.zachmann@nau.edu,lzachmann@gmail.com,CC-by,http://esapubs.org/archive/ecol/E091/243/default.htm,Ecology,"Site descriptionThe U.S. Sheep Experiment Station is located on the upper SnakeRiver plain at the foothills of the Centennial Mountains. approximately 10 kilometersnorth of Dubois. Idaho. USA. The station headquarters sits on 27.930 acres of ARSland at elevations ranging from roughly 1.650 to 1.800 meters. Permanent quadratswere established on station land in 1923.Design characteristics26 permanent quadrats were located in bothgrazed and ungrazed units. The two grazed paddocks contain fourquadrats each. The four ungrazed units contain a total of 18 quadrats(anywhere from 4 to 6 quadrats per exclosure).b. Permanent plots: See quadrat information data file in IV.c. Data collection: Quadrats were mapped annually from 1923 to 1957and once again in 1973. with some exceptions (see the quadrat samplingschedule data file in IV). Quadrats were mapped late in the growingseason each summer (generally between late May and early July.depending on the year).Research Methodsa. Field / laboratory: The data were collected in the field usingpantographs (Hill 1920). a mechanical device used to make scaledrawings. The original paper maps were first scanned and then stored asTIFF image files. These images were then converted into shapefiles byheads-up digitization in ArcGIS. For a complete digitization protocol.contact Peter Adler. Monthly climate data was obtained from the NationalClimatic Data Center (http://www.ncdc.noaa.gov/oa/ncdc.html).b. Instrumentation: Pantographs. scanners. and computers runningArcGIS. Python. and R.c. Taxonomy and systematics: Originally assigned plant names werecorrected for synonyms based on the USDA Plants Database(http://plants.usda.gov/). Unit of abundance = Count, Unit of biomass = NA",Plots,,Dates added Years (1923. 1926. 1927. 1929) deleted due to uneven sampling effort,Oct-12,Count,NA,lat_long_quadrat_year
33,Marine,Temperate,,,,,Seaweed beds,FALSE,Temperate shelf and seas ecoregions,Marine plants,phytoplankton,Long-term phytoplankton community dynamics in the Western English Channel,A,S,18,1992,2009,50.25,-4.217,170,1,1,35676,200ml sampling from stations,1.58E-08,0.00000626,Claire Widdicombe,,CLST@pml.ac.uk,,ODbL,http://plankt.oxfordjournals.org/content/32/5.toc,Oxford Journals,"Sampling and enumeration of phytoplanktonWeekly phytoplankton samples were collected from theWestern Channel Observatory (WCO) (www.westernchannelobservatory.org.uk) long-term monitoringstation L4 (508 15.000N. 48 13.020W) betweenOctober 1992 and December 2007. Water was sampledfrom a depth of 10 m using a 10 L Niskin bottle.A 200 mL subsample was then removed from the bottleand immediately fixed with 2% (final concentration)Lugol?s iodine solution (Throndsen. 1978). A second200 mL sub-sample was then taken and preserved withneutral formaldehyde for the enumeration of coccolithophores.Samples were returned to Plymouth MarineLaboratory and stored in cool. dark conditions untilanalysis using light microscopy and the Utermo?hl countingtechnique (Utermo?hl. 1958). Samples were gentlyhomogenized before settling a 50 mL subsample fromthe Lugol?s-preserved sample. and a 100 mL subsamplefrom the formaldehyde-preserved sample. Subsampleswere settled for .48 h and all cells .2 mm wereidentified. where possible to species level. and enumeratedat either 200 or 400 magnification using aLeica DM IRB inverted microscope. Cells with a meandiameter of between 2 and 10 mm and that had recognizableflagellae and/or plastids (excluding diatoms anddinoflagellates) were categorized as ?phyto-flagellates?(Holligan and Harbour. 1977; Boalch et al.. 1978). Cellswere divided into seven functional groups; phytoflagellates.diatoms. Phaeocystis. coccolithophorids. dinoflagellates.heterotrophic dinoflagellates and ciliates.Further details on the Western Channel Observatoryand the time-series station L4 are provided by Smythet al. (Smyth et al.. 2010) for the environmental parametersand Eloire et al. (Eloire et al.. 2010) for themesozooplankton. Unit of abundance = Count, Unit of biomass = NA",Stations,,Inaccurate decimal latitude/longitude conversion corrected to appropriate lat/long values,Oct-12,Count,NA,lat_long_location_method_date
39,Terrestrial,Temperate,,,,,Deciduous forest,FALSE,Temperate broadleaf and mixed forests,Birds,birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,A,S,45,1970,2015,43.91,-71.75,52,45,1,959,50m interval plots from 500 x 100 m area,0.05,0.1,Richard Holmes,Tom Sherry,richard.t.holmes@dartmouth.edu,tsherry@tulane.edu,CC-by,http://www.esajournals.org/toc/emon/56/3,Ecology,"This study was conducted in the Hubbard Brook Experimental Forest. a 3076-ha sector of the White Mountain National Forest. West Thornton. Grafton County. New Hampshire. USA. Our study took place on the 10-ha forest plot de- scribed by Holmes and Sturges (1975). which is located on a relatively steep (20-25%). south-southeast facing slope at an elevation of 500 to 600 m and adjacent to the lower third of watershed 6. the reference area for many of the Hubbard Brook ecosystem studies. The study plot was situated within a large tract of unfrag- mented and relatively homogeneous northern hard- woods forest. > 5 km distant from. and at an elevation 300 m above. the nearest human settlement. The only human-caused disturbances near the study area were on three experimental watersheds. 13. 10. and 22 ha in extent. which were logged by clear-cutting in 1967. in 1970. and from 1973 to 1975. respectively. The nearest of these was 0.6 km from the edge of our plot. the others were 1 and 2 km away. Although some for- est-dwelling birds moved to these areas in mid and late summer to feed on ripening fruit. we have no evidence that birds settling and breeding on the study area were in any way affected by these logged areas.Bird populations Bird censuses were conducted in a consistent manner in each of the 16 summers. These census methods have been described in detail by Holmes and Sturges (1975). Briefly. they involved: (1) Timed censuses. Two ob- servers moved at a rate of 50 m/6 min along parallel transect lines. 1 00 m apart. and recorded all birds heard or seen within 50 m on either side of the line. Since the 10-ha plot was 500 m long and 200 m wide and these lines ran 50 m in from the long sides. the entire plot was surveyed in a 1-h census. From these records. the numbers of individuals observed on the plot were then tallied. A minimum of two such censuses was conducted each week from late May through mid-July. (2) Territory-mapping. The positions of individual males (and females when seen). especially those en- gaged in simultaneous singing with neighbors. were plotted on a gridded census map. From these records. the territories of the males of many species could be delineated. (3) Mist-net captures. Forty to 50 mist nets. located at 50-m intervals on the census grid. were op- erated for 6-8 h/d. usually 1 or 2 d/wk from late May through early July in all years except 1980. Each cap- tured bird was given an aluminum band plus a unique combination of colored plastic bands. Capture and re- capture frequencies provided additional information on the presence of birds on the plot. including females and occasionally floaters. (4) Detailed observations. These provided information on nesting events and on the occurrence of females associated with males. Data from all methods were pooled and used to es- timate the total numbers of adult birds of each species living on the 1 0-ha study area during the breeding pe- riod. late May to early July. Final density estimates were adjusted for territories occurring only partly on the plot (i.e.. if a territory of a mated pair was half off the study area. only 0.5 male and 0.5 female for a total of one bird was counted) and for unmated males. The data therefore represent the total numbers of adult in- dividuals occupying 10 ha of northern hardwoods. For comparisons with most other studies. the numbers of individuals estimated to be on our plot should be di- vided in half to approximate the numbers of breeding pairs. These methods were most efficient for estimating the numbers of relatively small. mostly passerine birds that inhabit these forests. but also most woodpeckers and the one hummingbird species (see Table 2). We were unable to census adequately the raptors (Red-tailed Hawk. Buteo jamaicensis; Broad-winged Hawk. B. platypterus; Sharp-shinned Hawk. Accipiterstriatus; and Barred Owl. Strix varia). Ruffed Grouse (Bonasa um- bellus). Chimney Swift (Chaetura pelagica). and Pi- leated Woodpecker (Dryocopus pileatus). which were present in this forest but ranged over an area much larger than our 10-ha plot. These low-density species are not included in our analyses. Insect Sampling We used two methods to estimate the abundance of larval Lepidoptera (caterpillars). First. during periods of relatively high caterpillar densities (specifically sum- mers 1969 through 1973). we collected their fecal pel- lets (frass) falling from the forest canopy. Following the procedures of Gosz et al. (1973). we placed 20 funnels (each 20 cm in diameter) lined with filter paper and attached to 1 m tall stakes in a rectangular array on the census plot. with adjacent funnels 100 m apart. Frass was collected from the funnels at 2-4 d intervals. dried at 70'C for 48 h. and then weighed. Second. in 10 summers. caterpillars were censused directly on foliage by visually searching at least 80 50- leaf samples (i.e.. 4000 leaves and supporting petioles and twigs) at z2-wk intervals. For this paper. only data from caterpillar counts on beech foliage in the forest understory are presented. because (1) it was cen- sused in more seasons than any other type of foliage. (2) caterpillar abundance there was representative of that occurring on the foliage of other forest trees (R. T. Holmes and J. C. Schultz. personal observation). and analyses of the vertical distribution of caterpillars in this forest showed few if any differences in their abundance among the canopy. subcanopy. and sapling strata (J. C. Schultz and R. T. Holmes. personal ob- servation). Foliage profile measurements For recording changes in the vertical distribution of foliage. we measured the foliage density profile. using the method of MacArthur and Horn (1969). Six sep- arate vertical transects were made along a randomly placed sample line at each of 20 sites located 100 m apart on the study area. The measurements were av- eraged for each site. and then means and standard de- viations of foliage densities at each of seven vertical strata were obtained for the plot as a whole. Data were taken on the plot in 1972-1973 and again in 1982 at the same locations. Student's t tests were used to detect differences in foliage density within each stratum be- tween sampling periods. Unit of abundance = DensityPer10Ha, Unit of biomass = NA",Plots,,Removed records prior to 1986 as per provider instructions (different sampling intensities). - subsequent combining of two as per provider instructions  Where data showed t for trace (<0.5 birds per 10ha) substituted 0.2 as a numeric value for abundance.  depth and biomass NULL values set to zeroes - first part of data (to 1984) entered in OCT-12 later part JUN-16,Oct-12,Density,NA,lat_long_timeTransect_year
41,Terrestrial,Temperate,,,,,Woodland,FALSE,Temperate broadleaf and mixed forests,Birds,birds,Time and space and the variation of species,A,S,10,1923,1940,39.5,-82.48,56,10,1,418,counts from 28 ha,0.28,0.00000518,Author now deceased,Queries at Ecology,esahq@esa.org,esahq@esa.org,CC0,http://www.esajournals.org/toc/ecol/41/4,Ecology,"Time and space and the variation of species - no further methods as yet Unit of abundance = Count, Unit of biomass = NA",Counts,,Dates added ,Oct-12,Count,NA,lat_long_census_year
45,Marine,Tropical,,,,,Reef,FALSE,Tropical seas,Fish,tropical reef fish,MCR LTER Coral Reef Long-term Population and Community Dynamics Fishes,AB,S,10,2006,2015,-17.5,-149,338,1105,1,47282,5 x 50 m transects,2,205,Andrew Brooks,LTER contact,AJBrooks@ucsb.edu,mcrlter@msi.ucsb.edu,CC-by,http://mcr.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-mcr.6,Moorea Coral Reef LTER,"Diver ObservationThis study began in 2005 and the dataset is updated annually. The abundances of all mobile taxa of fishes (Scarids. Labrids. Acanthurids. Serranids. etc.) observed on on a five by fifty meter transect which extends from the bottom to the surface of the water column are recorded by a diver using SCUBA. The diver then swims back along a one by fifty meter section of the original transect line and records the abundances of all non-mobile or cryptic taxa of fishes (Pomacentids. Gobiids. Cirrhitids. Holocentrids etc). Surveys are conducted between 0900 and 1600 hours (Moorea local time) during late July or early August each year. In 2006. divers also began to estimate the size (length) of each fish observed to the nearest half cm. Four replicate transects are surveyed in each of six locations on the forereef (two on each of Moorea's three sides). six locations on the backreef (two on each of Moorea's three sides) and on six locations on the fringing reef (two on each of Moorea's three sides) for a total of 72 individual transects. Transects are permanently marked using a series of small. stainless steel posts affixed to the reef. Transects on the forereef are located at a depth of approximately 15m. those on the backreef are located at a depth of approximately 1.5m and those on the fringing reef are located at a depth of approximately 10m.LocationsAnnual fish census locations are labeled with four components in a stratified design: 6 sites. 3 habitats. 4 transects. 2 swaths. (The swaths are the transect widths of 1 m and 5 m.) Therefore there are 144 unique locations surveyed each year. The six MCR-LTER sites span the three shores of the roughly triangular island of Moorea with Sites 1 and 2 on the north-facing shore. Sites 3 and 4 on the south-east-facing shore. and Sites 5 and 6 on the south-west-facing shore. At each site. the three habitats are the Fringing Reef. Backreef. and Forereef. At each habitat. there are four transects. Each transect has two swaths. The two swaths are described in the Diver Observation method step.Dive ConditionsIn addition to the biotic data collected. divers also record data on the date and time each transect was surveyed. wind speed and sea state. swell height in m. amount of cloud cover in % and horizontal visibility in m. Dive conditions are recorded for each dive. which is unique to a habitat at a site for a year. Therefore there are 18 unique dive conditions each year (3 habitats at 6 sites).DiversAt each site. at each habitat. there are four transects. each covered by an assigned diver (in 2005 by 2 divers). Whenever possible. the same diver covers the same transect number every year. (Transect 3 has varied.) The diver is listed by their initials. (In 2005. the initials of 2 divers are concatenated.) The diver ID is determined by the year and transect number; there are 4 unique diver IDs for each year.Reference for fish census protocolThe MCR-LTER annual fish census is based on the 'Fish Belt Transect' method described in: 'Methods for Ecological Monitoring Of Coral Reefs: A Resource For Managers. Version 1.'. J. Hill and C. Wilkinson. 2004. Australian Institute of Marine Science (AIMS). Townsville. Australia. 117 p.  Unit of abundance = Count, Unit of biomass = CountXestimatedSize",Transects,,Some dates added. 29.3.16 FM - noted that 2005 has NA biomass but left as one study due to only single year - will show zero values17.5.16 FM - deleted 2005 (different survey method) and Transect 3 (multiple and possibly inconsistent surveyors) on advice of data provider.  Also added years from 2010 to 2015 after receiving this extra information from the data .,Oct-12,Count,Size,lat_long_site_habitat_transect_swathDate
46,Terrestrial,Temperate,,,,,Woodland,FALSE,Temperate broadleaf and mixed forests,Birds,breeding bird pairs,Skokholm Bird Observatory,A,S,47,1928,1979,51.698,-5.277,29,47,1,528,counts from 1 km sq,1,0.00000645,Mark Williamson,,mw1@york.ac.uk,,CC0,http://ecologicaldata.org/wiki/skokholm-bird-observatory,Eco Data Wiki,"Skokholm was established as a bird observatory by R.M. Lockley. He took a lease on the island in October1927. and kept records of breeding birds from 1928 to1940 (Lockley 1938. 1947). After the war theobservatory was run by the West Wales Field Societyand the Council for the Promotion of Field Studies (nowthe Field Studies Council). and later by the EdwardGrey Institute of Field Ornithology of the University ofOxford. Records of breeding and. for most species inmost years. counts or estimates of the numbers ofbreeding pairs are available from 1928 to 1979. with abreak from 1941 to 1945. making 47 years of records.Those up to 1967 have been published by Lack (1969)and analysed by Williamson (1981). Those since 1967have been extracted from the Annual Reports of theObservatory in the Alexander Library of the EdwardGrey Institute. The whole record for land and waterbirds is given in Tab. 1.The criterion for inclusion in Tab. 1 is breeding. butas is now well recognised. there are different degrees ofcertainty in such records. For a study of immigrationand extinction the important question is whether a pairof birds was attempting to breed. rather than whether itbred successfully. For instance the raven Corvus coraxhad one pair every year (two in 1961). but in 1978built a nest in Steep Bay. but it remained empty. Inthe British Trust for Ornithology code this is B. Nestbuilding. and counts only as Probable breeding in thisspecies. though it is regarded as Confirmed breedingin most others (Sharrock 1976). For this study it countsas a population of one pair. In most cases the annualreport gives a single figure for the number of pairs. Forneighbouring integers. e.g. 12 or 13. I have taken thehigher figure. for ranges. e.g. 35 to 40. a figure at or just slightly from Lack (1969). and includes figures thatabove the mid-point (38 in this case). Lack records as question marks. and Lockley also givesFor the pre-war figures Lockley (1947) differs the figures for 1940. I have therefore taken histhroughout. rather than Lack's. The only importantdifference in relation to the MacArthur-Wilson theoryis that Lockley records one pair of sky lark Alauda arvensisin 1938. which Lack (and Williamson 1981) recordas an extinction followed by an immigration in1939. Lockley also notes that he shot or deported littleowls Athene noctua when he could. because they atestorm petrels Hydrobates pelagicus. so I have excludedlittle owls from Tab. 1.It is evident that many of the estimates of the commonbirds in Tab. 1 are round figures. In some yearsestimates are lacking. though breeding is recorded. andas a full set of figures is needed for the calculations thatfollow I have interpolated. approximately linearly. insuch cases. The interpolated figures are in italics in Tab.1.Skokholm is a most important station for sea-birdpopulations. Throughout the years there have beenthousands of pairs of Manx shearwater Puffinus puffinus.storm petrel Hydrobates pelagicus. and puffinsFratercula arctica. and these are the largest colonies.along with those on the neighbouring island of Skomer.in the Celtic Sea (Cramp et al. 1974). Herring gullsLarus argentatus and lesser black-backed gulls Larusfuscus have increased from hundreds of pairs pre-war tothousands now. There are also hundreds of pairs ofrazorbills Alca torda and guillemots Uria aalge. Thegreat black-backed gull Larus marinus population iscontrolled at around ten pairs. The fulmar Fulmarusglacialis first bred in 1967 and even now occupies lessthan twenty sites. There have been casual records ofbreeding of shag Phalacrocorax aristotelis and kittiwakeRissa tridactyla (Lockley 1969). There have also beenthirty to forty pairs of rock pipits Anthus spinolettabreeding on the cliffs each year. Lack (1969) did notregard them as land-birds. and I have. somewhat reluctantly.followed him. partly because the estimates ofpopulation size are even rougher than those of themeadow pipit A. pratensis.MethodsMany features of the data can be brought out by simplemethods (Williamson 1981). However. to produce asatisfactory ordination of both species and years is notso simple. and requires a consideration both of differentordination methods. and of whether the data should betransformed.For most biological populations a transformation tothe logarithm of the numbers is desirable (Williamson1972a). When there are many zeros. as in Tab. 1. log(n+1) or better the arc-sinh transformation. which islog (n+(n2+ 1)12). can be used (Williamson 1981). butthese small numbers show features of a Poisson distribution.s o a square root transformation may be desirable(Pollard 1977). Tukey (1977) gives methods fordetermining an appropriate power transformation.which he refers to as re-expression. (with the logarithmbeing equivalent to a zero power). It is well-known thata plot of the logarithm of the mean against thelogarithm of the variance may indicate that a transformation is needed. When the variance is proportional tothe mean. a square root transformation is indicated; thestandard deviation proportional to the mean indicates alogarithmic transformation. Taylor et al. (1978) givemany examples of such plots showing clearly. to mymind. that most biological data needs transformationand usually something. on Tukey's scale. bounded bythe square root and the logarithm.These tests on the data of years in Tab. 1. both includingand excluding zeros. point to a square roottransformation. By species. again with and withoutzeros. the results are more variable. which is not surprising.The raven population is almost constant at onepair. The stock dove Columba oenas and jackdaw Corvusmonedula populations vary from zero to sixty pairs.In view of this scatter.although a logarithmic transformationwould be better for the common species. asquare root transformation is justifiable for all. and sohas been used.A standard Principal Component Analysis of datawith many zeros usually produces a curved result. thehorseshoe effect. from artificial data designed to belinear (Williamson 1978). Various methods have beenproposed to prevent this including multi-dimensionalscaling. MDS (Carroll and Arabie 1980). reciprocal averaging(or contingency analysis). and Hill's developmentof it. Decorana (Gauch 1982). and the step-acrossmethod (Williamson 1978). Reciprocal averaging andstep-across are direct; multi-dimensional scaling isiterative. and requires a variety of starting configurations.Decorana assumes the second Principal axis to bean artefact. and reduces it by a slicing technique.Step-across applies only to incidence matrices. whereall the entries are one of zero. Much of the variation inTab. 1 and similar data occurs in the number of entitiespresent. The similarity index used in step-across is theJaccard one. the number of joint occurrences. Thenatural extension of this to continuous data is illustratedin Fig. 2. It is the total set of joint occurrences. the areaof the intersection of the species graphs. Mathematically.this is Kendall's (1971) circle product. I min (a.b). The effect of using the circle product on species withmoderate overlap is to make them more similar than ifthe Jaccard index is used. so tending to re-create ahorseshoe. This can be corrected by a transformation;the square root of the circle product has been used here.This development of step-across can be called stepalongfor convenience.English (1982) compared MDS. Decorana andstep-along analyses of both the Eastern Wood (Williamson1981) data and a sub-set of the Skokholm data.using years in which complete records exist. Not allvariants of MDS are available at York. but he foundthose that were very expensive in computer time. requiring arbitrary choices of starting point. and the resultsdisappointing. Decorana produced the straightesttime axis. but. as will be seen. the time axis at Skokholmshould be curved. So the method has had the unfortunateeffect of removing. as an artefact. a real feature.The species ordination by Decorana was not readily interpretable.Consequently. the remainder of this paperdeals only with step-along results. The transformationsused here. of square roots for both data and circle product.are not critical. Runs with other transformationsproduce recognisably the same result Unit of abundance = Count, Unit of biomass = NA",Counts within defined area,,Dates added ,Oct-12,Count,NA,lat_long_year
47,Terrestrial,Temperate,,,,,Ponds,FALSE,"Temperate grasslands, savannas and shrublands",Birds,ducks,Detection of Density-Dependent Effects in Annual Duck Censuses,A,Y,26,1952,1977,50.845447,-107.446257,13,35,2,392,0.2 km wide transects,0,4.154398111,William Vickery,Tom Nudds,vickery.william@uqam.ca,tnudds@uoguelph.ca,CC0,http://www.esajournals.org/toc/ecol/65/1,Ecology,"Census dataBecause of their historical economic importance.ducks afford the opportunity to examine very largedata sets collected over large geographic distances.long time periods. and through changing. but measurable.levels of breeding-habitat availability. In 1952 inmixed prairie near Redvers. Saskatchewan. and in 1953in aspen-parkland near Lousana. Alberta (Fig. 1). theUnited States Fish and Wildlife Service undertookyearly collections of waterfowl census and habitat dataon 0.2 km wide. permanently established transects. TheRedvers Waterfowl Study Area was a reversed-L transect.each arm roughly 32.2 km long; the total areawas 12.9 km2. The terrain was gently rolling and reliefgenerally <3 m. The pothole basins were generallysaucer shaped rather than bowl shaped (Stoudt 1971).The Lousana Waterfowl Study Area was a rectangulartransect roughly 16.1 x 6.4 km. or 9.3 km2. The terrainwas knob-and-kettle-like. A larger percentage ofponds at Lousana. compared with Redvers (45 vs.31%). were classified as permanent (Smith 1971).Each pothole on the transects was numbered andvisited several times yearly when breeding pairs of allspecies were counted. Dzubin (1969a) provided a reviewof the potential biases in transect-collected censusdata for ducks. Violations of these assumptionspose problems for deterministic calculations; the valuein these data is that. while they may be crude by thosestandards. the amount of data and the time span theycover outweigh disadvantages imposed by the mannerof data collection. Two assumptions. for purposes ofthis analysis. are important: first. the relative populationsizes of ducks were as the observers recordedthem. and second. proportional use of different pondtypes by different species was represented by the censusdata. The second assumption is made more plausibleby validation of the first; the first is reasonablebecause considerable effort was made to census allponds thoroughly (Smith 1971:14. Stoudt 1971:14). Onebiologist collected most of the data. although in recentyears. other United States Fish and Wildlife Servicepersonnel and I collected data.Each pothole was scored for each of the followingcharacteristics: permanence classification. size.depth. degree of openness of surrounding vegetation.percent coverage of pond surface by emergentvegetation. and type of vegetation. All values of habitatvariables were of ordinal level; type of vegetationwas not a nominal-level variable because it tookon values that corresponded to structural complexity(height. density) of each plant type or association.Twenty-six years of data (1952-1977) from Redverswere available for analysis. Four censuses were conductedyearly from 1952 to 1965; commencement datesof censuses varied between 1-11 May. 1-4 June. 29June-13 July. and 22-26 July. Eight and six censuseswere conducted in the drought years 1961 and 1962.respectively. After 1965. one July census was begunbetween 11 and 23 July; dates of May and June censusesvaried as in previous years. Nine years (1968-1976) of data from the Lousana area were availablefor analysis. Commencement dates for censuses. whichwere conducted three times yearly. varied between Iand 7 May. between 31 May and 8 June. and between14 and 17 July. Unit of abundance = Count, Unit of biomass = NA",Transects,,Dates added ,Oct-12,Count,NA,lat_long_location_year
51,Terrestrial,Temperate,,,,,Woodland,FALSE,Boreal forests/Taiga,Birds,tetraonid birds,Fluctuations and long-term in the relative densities of tetraonid populations in Finland. 1964-77,A,S,14,1964,1977,61.9241,25.7482,4,1,1,56,~40 km apart - transects,0,0.0000085,Harto Linden,Global Population Dynamics Database,harto.linden@rktl.fi,cpb-gpdd-dl@imperial.ac.uk,CC-by,http://www3.imperial.ac.uk/cpb/databases/gpdd,Global Population Dynamics Database,"The abundance of the tetraonid species in different parts of thecountry. the long-term population trends in respective areas and thedelimitation of areas in which the fluctuations of a single tetraonid species aresynchronous were studied. Route censuses of tetraonids give only relativedensities. because they are carried out in optimal grouse habitats. but thecensus results are suitable for the purposes mentioned above. Between 500and 800 route censuses are carried out annually; the total length of theseroutes has varied between 20.000 and 30.000 km annually. Unit of abundance = MeanCount, Unit of biomass = NA",Transects,,Dates added ,Oct-12,MeanCount,NA,lat_long_general_date
52,Terrestrial,Polar,,,,,Polar,FALSE,Boreal forests/Taiga,Mammals,small land carnivores,A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters,A,S,13,1968,1980,67.75,29.5,3,5,1,144,100 m transects,0.001,0.0000106,Erkki Pulliainen,Global Population Dynamics Database,susi.pulliainen@gmail.com,cpb-gpdd-dl@imperial.ac.uk,CC0,http://www3.imperial.ac.uk/cpb/databases/gpdd,Global Population Dynamics Database,"The tracks of red fox. pine marten. stoat and pygmy weasel crossing an observation line 5970 m long running westwards from the summit of Varriotunturi were counted in the winters of 1968/69 - 1980/81 by skiing along this line once a week during the snowy season of the year. Only tracks that were at most 2 days old when recorded in November - April are taken into account in the present calculations. If the same individual had crossed the line more than once within a few minutes at points lying between two recording sticks 20 m apart. this was regarded as only one crossing. In order to render the results for the different months comparable. all monthly means (per 100 m of the observation line) were calculated per four observation times on the basis of those observations in which fresh tracks were visible. Unit of abundance = MeanCount, Unit of biomass = NA",Transects,,Dates added ,Oct-12,MeanCount,NA,lat_long_general_forestType_date
