OrigName,FoundName,Selection,TAXA,TITLE
Aberts Towhee,Melozone aberti,1,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Aberts Towhee,Pipilo aberti,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
American Goldfinch,Carduelis tristis,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
American Goldfinch,Carduelis tristis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
American Goldfinch,Spinus tristis,1,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
American Goldfinch,Spinus tristis,1,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
American Wigeon,Anas americana,1,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
American Wigeon,Mareca americana,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Antarctic fur-seal,Arctocephalus gazella,1,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Antarctic fur-seal,Arctocephalus tropicalis,0,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Barred owl,Pulsatrix melanota,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Barred owl,Strix hylophila,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Barred owl,Strix varia,1,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Bewicks Wren,Thryomanes bewickii,1,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bewicks Wren,Thyromanes bewickii,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Black-Browed albatross,Thalassarche melanophris,1,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Black-Browed albatross,Thalassarche melanophrys,0,Birds,Data collected aboard cruises off the coast of the Western Antarctic Penninsula
Black-capped chickadee,Parus atricapillus,0,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Black-capped chickadee,Parus atricapillus,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Black-capped chickadee,Poecile atricapillus,0,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Black-capped chickadee,Poecile atricapillus,1,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Blue Grosbeak,Cyanoloxia glaucocaerulea,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Blue Grosbeak,Passerina caerulea,1,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bobwhite,Colinus cristatus,NA,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Bobwhite,Colinus leucopogon,NA,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Bobwhite,Colinus nigrogularis,NA,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Bobwhite,Colinus virginianus,NA,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Brown creeper,Certhia americana,0,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Brown creeper,Certhia americana,1,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Brown creeper,Finschia novaeseelandiae,0,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Brown creeper,Finschia novaeseelandiae,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Brown creeper,Mohoua novaeseelandiae,0,Birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook
Brown creeper,Mohoua novaeseelandiae,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Bushtit,Aegithalos bonvaloti,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos caudatus,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos concinnus,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos exilis,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos fuliginosus,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos glaucogularis,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos iouschistos,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos leucogenys,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos niveogularis,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Aegithalos sharpei,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Psaltria exilis,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Bushtit,Psaltriparus minimus,1,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Canyon Towhee,Melozone fusca,1,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Canyon Towhee,Pipilo fuscus,0,Birds,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000
Cardinal,Acalypha radians,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Aphilopota cardinalli,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Apogonichthyoides nigripinnis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Apogonichthyoides timorensis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Cardinalis cardinalis,1,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Cardinalis phoeniceus,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Chalcopsitta cardinalis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Cheilodipterus arabicus,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Conus cardinalis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Dasychira cardinalli,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Ipomoea multifida,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Lobelia cardinalis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Myripristis gildi,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Opisthodontia cardinalli,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Ostorhinchus apogonoides,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Ostorhinchus hartzfeldii,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Pachystachys spicata,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Parnassius cardinal,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Paroaria capitata,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Paroaria coronata,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Paroaria gularis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Penstemon cardinalis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Perola cardinalli,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Phidippus cardinalis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Pyrochroa serraticornis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Quelea cardinalis,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Quelea cardinals,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Sena cardinalli,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Silene laciniata,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
Cardinal,Sympetrum illotum,0,Birds,Bird populations in east central Illinois. Fluctuations variations and development over a half-century
