usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,submittedname,matchcategory,note,acceptedUsageKey
7341587,"Melozone aberti (S.F.Baird, 1852)",Melozone aberti,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Emberizidae,Melozone,Melozone aberti,1,44,212,729,9608,2491170,7341587,FALSE,Aves,Melozone aberti,Top,NA,NA
5231640,"Spinus tristis (Linnaeus, 1758)",Spinus tristis,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Fringillidae,Spinus,Spinus tristis,1,44,212,729,5242,8051475,5231640,FALSE,Aves,Spinus tristis,Top,NA,NA
1040498,"Stenus tristis Casey, 1884",Stenus tristis,SPECIES,ACCEPTED,0,FUZZY,Animalia,Arthropoda,Coleoptera,Staphylinidae,Stenus,Stenus tristis,1,54,216,1470,7854,9025291,1040498,FALSE,Insecta,Spinus tristis,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=1,NA
11002037,"Stenus tristis Casey, 1884",Stenus tristis,SPECIES,SYNONYM,0,FUZZY,Animalia,Arthropoda,Coleoptera,Staphylinidae,Stenus,Stenus tristis,1,54,216,1470,7854,9025291,1040498,TRUE,Insecta,Spinus tristis,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0,1040498
8872579,"Sunius tristis Erichson, 1840",Sunius tristis,SPECIES,SYNONYM,0,FUZZY,Animalia,Arthropoda,Coleoptera,Staphylinidae,Astenus,Astenus tristis,1,54,216,1470,7854,5431102,5746478,TRUE,Insecta,Spinus tristis,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0,5746478
2498154,"Anas americana Gmelin, 1789",Anas americana,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Anseriformes,Anatidae,Anas,Anas americana,1,44,212,1108,2986,2498056,2498154,FALSE,Aves,Anas americana,Top,NA,NA
5152729,"Anapus americanus Knight, 1959",Anapus americanus,SPECIES,ACCEPTED,69,FUZZY,Animalia,Arthropoda,Hemiptera,Miridae,Anapus,Anapus americanus,1,54,216,809,4319,2010104,5152729,FALSE,Insecta,Anas americana,Alternative,Similarity: name=65; authorship=0; classification=-2; rank=5; status=1,NA
9273909,"Abax americanus (Dejean, 1828)",Abax americanus,SPECIES,SYNONYM,0,FUZZY,Animalia,Arthropoda,Coleoptera,Carabidae,Cyclotrachelus,Cyclotrachelus sigillatus,1,54,216,1470,3792,5431138,7869349,TRUE,Insecta,Anas americana,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0,7869349
8002839,Alnus americana (Regel) Czerep.,Alnus americana,SPECIES,SYNONYM,0,FUZZY,Plantae,Tracheophyta,Fagales,Betulaceae,Alnus,Alnus incana,6,7707728,220,1354,4688,2876099,9148577,TRUE,Magnoliopsida,Anas americana,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0,2876469
2876475,Alnus americana K.Koch,Alnus americana,SPECIES,SYNONYM,0,FUZZY,Plantae,Tracheophyta,Fagales,Betulaceae,Alnus,Alnus serrulata,6,7707728,220,1354,4688,2876099,2876528,TRUE,Magnoliopsida,Anas americana,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0,2876528
8162966,"Argas americana Packard, 1873",Argas americana,SPECIES,SYNONYM,0,FUZZY,Animalia,Arthropoda,Ixodida,Argasidae,Argas,Argas radiatus,1,54,NA,1425,9168,2184982,2184893,TRUE,NA,Anas americana,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0,2184893
2184407,"Argas americana Townsend, 1893",Argas americana,SPECIES,SYNONYM,0,FUZZY,Animalia,Arthropoda,Ixodida,Argasidae,Otobius,Otobius megnini,1,54,NA,1425,9168,2184399,2184404,TRUE,NA,Anas americana,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0,2184404
