STUDY_ID,Trait,LogCells,Mean_Sp_div,Mean_N_Years,Mean_Completeness,Mean_YearRange,PROTECTED_AREA,GRAIN_SQ_KM_Log,Abs_Lat,Tau
10,TR_Max_Height,0,25,3,0.6935483870967742,12,FALSE,-5.3979400086720375,47.4,0.3523809523809524
10,TR_Mean_SeedMass,0,25,3,0.7903225806451613,12,FALSE,-5.3979400086720375,47.4,0.45588235294117646
18,TR_Max_Height,0,98,29,0.5449346405228758,50,FALSE,-6,44.33,-0.30771088758470067
18,TR_Mean_SeedMass,0,98,29,0.6143790849673203,50,FALSE,-6,44.33,0.006666666666666667
39,TR_adult_body_mass_g,0,52,45,0.8175182481751825,45,FALSE,-1.3010299956639813,43.91,0.12380952380952383
41,TR_adult_body_mass_g,0,56,10,0.6770334928229665,17,FALSE,-0.5528419686577808,39.5,0.002849002849002849
45,TR_BodyLength_mm,0,337,6,0.9338289962825279,5,FALSE,0.3010299956639812,17.5,0.11781158869544327
46,TR_adult_body_mass_g,0,29,47,0.9659090909090909,51,FALSE,0,51.698,-0.22222222222222227
47,TR_adult_body_mass_g,0,13,26,1,25,FALSE,-Inf,50.845447,0.01818181818181818
56,TR_adult_body_mass_g,0,28,20,0.928374655647383,19,FALSE,-1.5030703519267852,34.2,0.10294117647058823
58,TR_adult_body_mass_g,0,31,18,0.9808429118773946,17,FALSE,-2.7071903345827097,18.19,0.1794871794871795
59,TR_adult_body_mass_g,0,29,26,0.9515570934256056,25,FALSE,-2.6020599913279625,30.3226,-0.2
60,TR_Max_Height,0,323,8,0.8959633791094466,33,FALSE,-0.3010299956639812,9.1521,0.06076496849524846
60,TR_Mean_SeedMass,0,323,8,0.6953807740324595,33,FALSE,-0.3010299956639812,9.1521,-0.02931519703037076
67,TR_adult_body_mass_g,0.7781512503836436,16.666666666666668,17.333333333333332,0.5153833745761395,16.333333333333332,FALSE,-Inf,28.954467,0.06666666666666668
78,TR_BodyLength_mm,0.9030899869919435,80.25,15.5,0.598932147566601,19,FALSE,-7,56.729642,-0.2147798707442726
91,TR_adult_body_mass_g,0.3010299956639812,17,6.5,0.8395833333333333,6,FALSE,-0.5228787452803376,57.038966,0.3999999999999999
97,TR_BodyLength_mm,0.3010299956639812,31.5,3,0.41885964912280704,20,FALSE,-Inf,72.739441,-0.19999999999999996
97,TR_QualBS_Numeric,0.6020599913279624,28.75,2.75,0.5572360475464022,18.5,FALSE,-Inf,72.739441,-0.042439521123984705
99,TR_BodyLength_mm,2.271841606536499,58.25668449197861,3.0427807486631018,0.8722794029881322,9.310160427807487,FALSE,-Inf,25.597857,0.03794603048733934
112,TR_BodyLength_mm,1.414973347970818,39.76923076923077,8.076923076923077,0.9367371480218017,9.538461538461538,FALSE,-Inf,24.981493,0.060593299072926286
112,TR_Mean_LengthMax,1.146128035678238,63.142857142857146,4.857142857142857,0.9359020182802197,7.857142857142857,FALSE,-Inf,24.981493,0.03507594861244161
119,TR_BodyLength_mm,3.016197353512439,21.90077071290944,6.069364161849711,0.9180416692711175,22.847784200385355,FALSE,-Inf,43.987425,-0.123804899719596
