trait,STUDY_ID_CELL,kendall_cor
TR_BodyLength_mm,135_3274242,0.20938142159739226
TR_BodyLength_mm,135_3277888,0.23334773795928976
TR_BodyLength_mm,135_3281533,-0.29553088043720516
TR_BodyLength_mm,148_4700688,0.44946657497549475
TR_BodyLength_mm,148_4700689,0.07142857142857142
TR_BodyLength_mm,148_4701417,-0.06451747176156365
TR_BodyLength_mm,148_4702874,-0.20389310481241205
TR_BodyLength_mm,148_4703603,-0.09032446046618911
TR_BodyLength_mm,148_4704330,0.05263157894736843
TR_BodyLength_mm,148_4704336,-0.5000000000000001
TR_BodyLength_mm,148_4705063,0.22878384543119132
TR_BodyLength_mm,148_4705064,0.1282051282051282
TR_BodyLength_mm,148_4705766,-0.034859132374400144
TR_BodyLength_mm,148_4705779,0.12552411131335844
TR_BodyLength_mm,148_4705787,-0.054945054945054944
TR_BodyLength_mm,148_4705794,-0.03871048305693819
TR_BodyLength_mm,148_4706516,-0.057416925176321465
TR_BodyLength_mm,148_4706521,-0.01098901098901099
TR_BodyLength_mm,148_4706539,-0.44444444444444453
TR_BodyLength_mm,148_4707243,-0.10878756313824399
TR_BodyLength_mm,148_4707251,0.08823529411764706
TR_BodyLength_mm,148_4707269,-0.1666666666666667
TR_BodyLength_mm,148_4707959,-0.08552631578947367
TR_BodyLength_mm,148_4707963,-0.07868894753646336
TR_BodyLength_mm,148_4707964,0.04749356901459777
TR_BodyLength_mm,148_4707972,0.2967476634551902
TR_BodyLength_mm,148_4707974,0.36363636363636365
TR_BodyLength_mm,148_4707981,-0.09205101496312953
TR_BodyLength_mm,148_4707982,-0.06666666666666667
TR_BodyLength_mm,148_4707999,0.39779612647907747
TR_BodyLength_mm,148_4708000,-0.06666666666666665
TR_BodyLength_mm,148_4708694,0.6111111111111113
TR_BodyLength_mm,148_4708699,-0.25
TR_BodyLength_mm,148_4708701,-0.03827795011754764
TR_BodyLength_mm,148_4708703,0.030303030303030304
TR_BodyLength_mm,148_4708713,0.20512820512820512
TR_BodyLength_mm,148_4708728,0.21904761904761907
TR_BodyLength_mm,148_4708730,0.14207862402109162
TR_BodyLength_mm,148_4709413,0.04419956960878639
TR_BodyLength_mm,148_4709414,0.3314967720658979
TR_BodyLength_mm,148_4709425,-0.16483516483516483
TR_BodyLength_mm,148_4709444,-0.17679827843514556
TR_BodyLength_mm,148_4709457,-0.20983719343056897
TR_BodyLength_mm,148_4709458,0.054945054945054944
TR_BodyLength_mm,148_4710145,0.11613144917081457
TR_BodyLength_mm,148_4710146,0.10256410256410256
TR_BodyLength_mm,148_4710150,0.38888888888888895
TR_BodyLength_mm,148_4710164,-0.014705882352941176
TR_BodyLength_mm,148_4710167,0.25490196078431376
TR_BodyLength_mm,148_4710172,0
TR_BodyLength_mm,148_4710190,0.10144927536231885
TR_BodyLength_mm,148_4710194,0.1782625544744512
TR_BodyLength_mm,148_4710195,-0.5555555555555557
TR_BodyLength_mm,148_4710196,-0.2237064887035496
TR_BodyLength_mm,148_4710197,0.026595838741673872
TR_BodyLength_mm,148_4710198,-0.2
TR_BodyLength_mm,148_4710202,0.15469849363075236
TR_BodyLength_mm,148_4710221,-0.19838536840730303
TR_BodyLength_mm,148_4710223,0.031165426096618414
TR_BodyLength_mm,148_4710887,-0.055555555555555566
TR_BodyLength_mm,148_4710893,0.04411764705882353
TR_BodyLength_mm,148_4710897,-0.01098901098901099
TR_BodyLength_mm,148_4710902,0.1722507755289644
TR_BodyLength_mm,148_4710948,-0.20246975299515804
TR_BodyLength_mm,148_4710952,-0.12040201117631721
TR_BodyLength_mm,148_4711600,0.14285714285714288
TR_BodyLength_mm,148_4711607,-0.4222222222222222
TR_BodyLength_mm,148_4711621,-0.0989010989010989
TR_BodyLength_mm,148_4711644,0.27472527472527475
TR_BodyLength_mm,148_4711645,-0.16666666666666666
TR_BodyLength_mm,148_4711654,0
TR_BodyLength_mm,148_4711655,-0.049999999999999996
TR_BodyLength_mm,148_4711659,-0.12727272727272726
TR_BodyLength_mm,148_4711680,-0.09569487529386911
TR_BodyLength_mm,148_4711682,0.30988989340045614
TR_BodyLength_mm,148_4712356,0.02564102564102564
TR_BodyLength_mm,148_4712363,-0.2595495470347952
TR_BodyLength_mm,148_4712380,0.09803921568627452
TR_BodyLength_mm,148_4712381,-0.6605782590758164
TR_BodyLength_mm,148_4712382,-0.19355241528469094
TR_BodyLength_mm,148_4712383,-0.4666666666666667
TR_BodyLength_mm,148_4712387,-0.1984790653795493
TR_BodyLength_mm,148_4712390,0.15384615384615385
