Trait tested,ID,Tau,Study Title,Citation,CENT_LAT,CENT_LONG,ABUNDANCE_TYPE,BIOMASS_TYPE
Amniotes: Adult body mass,419,-0.33333333333333337,Data collected aboard cruises off the coast of the Western Antarctic Penninsula,"Fraser, W. (2014) “At-sea seabird censuses. Data on the species encountered (including marine mammals), their abundance, distribution and behavior. Data collected aboard cruises off the coast of the Western Antarctic Peninsula, 1993 - present”. Palmer Station Antarctica LTER. Available at: http://dx.doi.org/10.6073/pasta/e3871e749fa737dd94d5a269ac90e8ce, accessed 2016.",-64.77,-64.05,Count,NA
Amniotes: Adult body mass,321,-0.2727272727272727,Small Mammal Exclosure Study. Jornada LTER.  SMES rodent trapping data,"Lightfoot, D. & Schooley, R. L. “SMES rodent trapping data, Small Mammal Exclosure Study”. Jornada LTER. Available at: http://jornada.nmsu.edu/sites/jornada.nmsu.edu/files/data_files/JornadaStudy_086_smes_rodent_trapping_data_0.csv, accessed 2016.",32.550335,-106.811564,Count,Weight
Amniotes: Adult body mass,46,-0.2222222222222223,Skokholm Bird Observatory,"Williamson, M. (1983) The Land-Bird Community of Skokholm: Ordination and Turnover. Oikos, 41, 378–384.",51.698,-5.277,Count,NA
Amniotes: Adult body mass,59,-0.2,Long-term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal. Arizona. USA,"Ernest, S., Valone, T.J. & Brown, J.H. (2009) Long?term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal, Arizona, USA. Ecology, 90, 1708-1708.",30.3226,-103.501,Count,NA
Amniotes: Adult body mass,440,-0.17647058823529416,Long-term dynamics of bird populations in pine-birch forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Zakharov, V. D. (1998) Biodiversity of bird population of terrestrial habitats in Southern Ural. Miass: IGZ, Ural Branch of Russian Academy of Sciences,158 p.",54.504083,60.293995,Density,NA
Amniotes: Adult body mass,319,-0.15555555555555556,Effects of rangeland management on community dynamics of herpetofauna to the tallgrass prairie,"Wilgers, D. J., Horne, E. A., Sandercock, B. K. & Volkmann, A. W. (2006) Effects of rangeland management on community dynamics of the herpetofauna of the tallgrass prairie. Herpetologica, 62, 378–388.",37.25,-96.71666,Count,NA
Amniotes: Adult body mass,358,-0.14285714285714285,Neotropical Migratory Bird Communities in a Developing Pine Plantation,"Dickson, J.G., Conner, R.N. & Williamson, J.H. (1993) Neotropical migratory bird communities in a developing pine plantation. Procedings on the Annual Conference. SEAFWA, 47, 439-446.",31.58333,-94.81666,Density,NA
Amniotes: Adult body mass,195,-0.04445592221512943,Breeding birds survey North America,"USGS Patuxent Wildlife Research Center “North American Breeding Bird Survey” ftp data set, version 2014.0. Available at: ftp://ftpext.usgs.gov/pub/er/md/laurel/BBS/DataFiles/, accessed 2013.",40.809241,-96.187269,Count,NA
Amniotes: Adult body mass,217,-0.03433955919288911,Landbird Monitoring Program (UMT-LBMP),"USFS “Landbird Monitoring Program (UMT-LBMP).” US Forest Service. Available at: http://www.avianknowledge.net/, accessed 2012.",46.828888,-109.981603,Count,NA
Amniotes: Adult body mass,516,-0.03248786778864122,A large-scale fragmentation experiment for Neotropical bats,"Rocha, R. (2017) Tropical forest fragmentation: effects on the spatio-temporal dynamics of its bat communities. PhD Thesis, University of Lisbon, Lisbon, Portugal.",-2.386381,-59.918769,Count,NA
