TidyBTName,canonicalName,rank,kingdom,common_name,AphiaID,Aphia_scientificname,TRY_AccSpeciesName,TR_BodyLength_mm,TR_QualitativeBodySize,TR_Mean_LengthMax,TR_adult_body_mass_g,TR_Mean_SeedMass,TR_Max_Height,Fish_Refs_Length,TRY_datasetIDs_SeedMass,TRY_datasetIDs_Height
Acer rubrum,Acer rubrum,SPECIES,Plantae,NA,NA,NA,Acer rubrum,NA,NA,NA,NA,1.3296740304399661,NA,NA,21 92 119 28 184 68 439 435,NA
Acer saccharum,Acer saccharum,SPECIES,Plantae,NA,NA,NA,Acer saccharum,NA,NA,NA,NA,1.7950385982894204,41,NA,21 92 119 28 184 68 439 435,68 92 20 28 184 199 252 241 435 431
Acer spicatum,Acer spicatum,SPECIES,Plantae,NA,NA,NA,Acer spicatum,NA,NA,NA,NA,1.3071685089854022,29.8704,NA,21 92 119 28 184 435,68 92 28 184 435
Amelanchier gravida,Amelanchier,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amelanchier laevis,Amelanchier laevis,SPECIES,Plantae,NA,NA,NA,Amelanchier laevis,NA,NA,NA,NA,1.454074075415247,12.192,NA,21 92 119,92 251
Betula papyrifera,Betula papyrifera,SPECIES,Plantae,NA,NA,NA,Betula papyrifera,NA,NA,NA,NA,-0.48099060875658106,NA,NA,21 92 119 28 184 68 439 435,NA
Cornus rugosa,Cornus rugosa,SPECIES,Plantae,NA,NA,NA,Cornus rugosa,NA,NA,NA,NA,1.5886472738223443,3.048,NA,21 92 119 28,92 28
Corylus cornuta,Corylus cornuta,SPECIES,Plantae,NA,NA,NA,Corylus cornuta,NA,NA,NA,NA,2.941287269201973,4.572,NA,21 92 119 28,92 28
Diervilla lonicera,Diervilla lonicera,SPECIES,Plantae,NA,NA,NA,Diervilla lonicera,NA,NA,NA,NA,NA,0.73152,NA,NA,92 251
Lonicera canadensis,Lonicera canadensis,SPECIES,Plantae,NA,NA,NA,Lonicera canadensis,NA,NA,NA,NA,NA,0.8,NA,NA,251
Ostrya virginiana,Ostrya virginiana,SPECIES,Plantae,NA,NA,NA,Ostrya virginiana,NA,NA,NA,NA,1.1963088565691855,22,NA,21 92 119 28 184 68 435,54 68 92 28 184 252 435
Pinus strobus,Pinus strobus,SPECIES,Plantae,NA,NA,NA,Pinus strobus,NA,NA,NA,NA,1.2066329953652033,80,NA,21 4 92 28 202 68 439 435,25 68 92 20 28 214 435
Populus pinnata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Populus sp,Populus,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus virginiana,Prunus virginiana,SPECIES,Plantae,NA,NA,NA,Prunus virginiana,NA,NA,NA,NA,1.8504015758911487,30,NA,21 25 92 119 28 184 435,25 68 92 28 184 251 435
Quercus rubra,Quercus rubra,SPECIES,Plantae,NA,NA,NA,Quercus rubra,NA,NA,NA,NA,3.4428929949323157,NA,NA,37 21 92 119 28 72 184 193 68 439 435,NA
Rubus flagellaris,Rubus flagellaris,SPECIES,Plantae,NA,NA,NA,Rubus flagellaris,NA,NA,NA,NA,0.5207834507565985,0.9144,NA,21 92 119 28,92
Rubus idaeus,Rubus idaeus,SPECIES,Plantae,NA,NA,NA,Rubus idaeus,NA,NA,NA,NA,0.3661823701182807,2.7432,NA,37 21 50 25 92 119 28 174,50 25 68 92 20 28 164 175 178 203 174 214 251
Tilia americana,Tilia americana,SPECIES,Plantae,NA,NA,NA,Tilia americana,NA,NA,NA,NA,1.8148239585797858,43,NA,21 92 119 28 184 193 68 435,54 68 92 28 184 435
